G9,12543.85,25087.7,37631.55,50175.4,62719.25
G9#,13289.75,26579.49,39869.24,53158.99,66448.74
A9,14080,28159.99,42239.99,56319.99,70399.98
A9#,14917.24,29834.47,44751.71,59668.95,74586.18
B9,15804.26,31608.52,47412.78,63217.05,79021.31
C10,16744.03,33488.06,50232.1,66976.13,83720.16
C10#,17739.68,35479.37,53219.05,70958.73,88698.42
D10,18794.54,37589.08,56383.62,75178.16,93972.7
D10#,19912.12,39824.24,59736.36,79648.49,99560.61
E10,21096.16,42192.32,63288.47,84384.63,105480.79
F10,22350.6,44701.2,67051.8,89402.4,111753
F10#,23679.64,47359.27,71038.91,94718.55,118398.18
G10,25087.7,50175.4,75263.1,100350.8,125438.5
G10#,26579.49,53158.99,79738.48,106317.97,132897.46
A10,28159.99,56319.98,84479.97,112639.97,140799.96
A10#,29834.47,59668.94,89503.42,119337.89,149172.36
B10,31608.52,63217.04,94825.56,126434.09,158042.61
